ệ	pt;es;fr;it	type:vowel	backness:front	height:mid	roundedness:unrounded	palate:nonpalatalizing
è	pt;es;fr;it	type:vowel	backness:front	height:mid	roundedness:unrounded	palate:nonpalatalizing
f	en;pt;es;fr;it	type:consonant	voice:fl-unvoiced	maner:fl-fricative	active:fl-labial	passive:fl-labiodental
g	en;pt;es;fr;it	type:consonant	voice:pb-voiced	maner:pb-plosive	active:pb-backtongue	passive:pb-velar
h	en;pt;es;fr;it	type:consonant	voice:fg-unvoiced	maner:fg-fricative	active:fg-glotal	passive:fg-velar
i	en;pt;es;fr;it	type:vowel	backness:front	height:close	roundedness:unrounded	palate:nonpalatalizing
í	pt;es;fr;it	type:vowel	backness:front	height:close	roundedness:unrounded	palate:nonpalatalizing
ï	pt;es;fr;it	type:vowel	backness:front	height:close	roundedness:unrounded	palate:nonpalatalizing
j	en;pt;es;fr;it	type:consonant	voice:af-sonorant	maner:af-affricate	active:af-fronttongue	passive:af-palatal
k	en;pt;es;fr;it	type:consonant	voice:pb-unvoiced	maner:pb-plosive	active:pb-backtongue	passive:pb-velar
l	en;pt;es;fr;it	type:consonant	voice:lf-sonorant	maner:lf-lateral	active:lf-fronttongue	passive:lf-alveolar
m	en;pt;es;fr;it	type:consonant	voice:nl-sonorant	maner:nl-nasal	active:nl-labial	passive:nl-bilabial
n	en;pt;es;fr;it	type:consonant	voice:nf-sonorant	maner:nf-nasal	active:nf-fronttongue	passive:nf-alveolar
ñ	pt;es;fr;it	type:consonant	voice:nf-sonorant	maner:nf-nasal	active:nf-fronttongue	passive:nf-alveolar
o	en;pt;es;fr;it	type:vowel	backness:back	height:mid	roundedness:rounded	palate:nonpalatalizing
ó	pt;es;fr;it	type:vowel	backness:back	height:mid	roundedness:rounded	palate:nonpalatalizing
œ	pt;es;fr;it	type:vowel	backness:back	height:mid	roundedness:rounded	palate:nonpalatalizing
ô	pt;es;fr;it	type:vowel	backness:back	height:mid	roundedness:rounded	palate:nonpalatalizing
p	en;pt;es;fr;it	type:consonant	voice:pl-unvoiced	maner:pl-plosive	active:pb-labial	passive:pl-bilabial
q	en;pt;es;fr;it	type:consonant	voice:pb-unvoiced	maner:pb-plosive	active:pb-backtongue	passive:pb-velar
r	en;pt;es;fr;it	type:consonant	voice:xf-sonorant	maner:xf-approximant	active:xf-fronttongue	passive:xf-palatal
s	en;pt;es;fr;it	type:consonant	voice:ffa-unvoiced	maner:ffa-fricative	active:ffa-fronttongue	passive:ffa-alveolar
t	en;pt;es;fr;it	type:consonant	voice:pf-unvoiced	maner:pf-plosive	active:pf-fronttongue	passive:pf-alveolar
u	en;pt;es;fr;it	type:vowel	backness:back	height:close	roundedness:rounded	palate:nonpalatalizing
ú	pt;es;fr;it	type:vowel	backness:back	height:close	roundedness:rounded	palate:nonpalatalizing
û	pt;es;fr;it	type:vowel	backness:back	height:close	roundedness:rounded	palate:nonpalatalizing
v	en;pt;es;fr;it	type:consonant	voice:fl-voiced	maner:fl-fricative	active:fl-labial	passive:fl-labiodental
w	en;pt;es;fr;it	type:consonant	voice:xl-sonorant	maner:xl-approximant	active:xl-labial	passive:xl-bilabial
# x	en;pt;es;fr;it	type:consonant	voice:cpf-unvoiced	maner:cpf-compound	active:cpf-fronttongue	passive:cpf-alveolar
x	en;pt;es;fr;it	type:consonant	voice:pb-unvoiced	maner:pb-plosive	active:pb-backtongue	passive:pb-velar	voice:ffa-unvoiced	maner:ffa-fricative	active:ffa-fronttongue	passive:ffa-alveolar
y	en;pt;es;fr;it	type:consonant	voice:am-sonorant	maner:am-approximant	active:am-midtongue	passive:am-palatal
z	en;pt;es;fr;it	type:consonant	voice:ffa-voiced	maner:ffa-fricative	active:ffa-fronttongue	passive:ffa-alveolar
