ï	pt;es;fr;it	type:vowel	backness:front	height:close	roundedness:unrounded	palate:nonpalatalizing
j	en;pt;es;fr;it	type:consonant	voice:sonorant	maner:affricate	active:fronttongue	passive:palatal
k	en;pt;es;fr;it	type:consonant	voice:unvoiced	maner:plosive	active:backtongue	passive:velar
l	en;pt;es;fr;it	type:consonant	voice:sonorant	maner:lateral	active:fronttongue	passive:alveolar
m	en;pt;es;fr;it	type:consonant	voice:sonorant	maner:nasal	active:labial	passive:bilabial
n	en;pt;es;fr;it	type:consonant	voice:sonorant	maner:nasal	active:fronttongue	passive:alveolar
ñ	pt;es;fr;it	type:consonant	voice:sonorant	maner:nasal	active:fronttongue	passive:alveolar
o	en;pt;es;fr;it	type:vowel	backness:back	height:mid	roundedness:rounded	palate:nonpalatalizing
ó	pt;es;fr;it	type:vowel	backness:back	height:mid	roundedness:rounded	palate:nonpalatalizing
œ	pt;es;fr;it	type:vowel	backness:back	height:mid	roundedness:rounded	palate:nonpalatalizing
ô	pt;es;fr;it	type:vowel	backness:back	height:mid	roundedness:rounded	palate:nonpalatalizing
p	en;pt;es;fr;it	type:consonant	voice:unvoiced	maner:plosive	active:labial	passive:bilabial
q	en;pt;es;fr;it	type:consonant	voice:unvoiced	maner:plosive	active:backtongue	passive:velar
r	en;pt;es;fr;it	type:consonant	voice:sonorant	maner:approximant	active:fronttongue	passive:palatal
s	en;pt;es;fr;it	type:consonant	voice:unvoiced	maner:fricative	active:fronttongue	passive:alveolar
t	en;pt;es;fr;it	type:consonant	voice:unvoiced	maner:plosive	active:fronttongue	passive:alveolar
u	en;pt;es;fr;it	type:vowel	backness:back	height:close	roundedness:rounded	palate:nonpalatalizing
ú	pt;es;fr;it	type:vowel	backness:back	height:close	roundedness:rounded	palate:nonpalatalizing
û	pt;es;fr;it	type:vowel	backness:back	height:close	roundedness:rounded	palate:nonpalatalizing
v	en;pt;es;fr;it	type:consonant	voice:voiced	maner:fricative	active:labial	passive:labiodental
w	en;pt;es;fr;it	type:consonant	voice:sonorant	maner:approximant	active:labial	passive:bilabial
# x	en;pt;es;fr;it	type:consonant	voice:cunvoiced	maner:ccompound	active:cfronttongue	passive:calveolar
x	en;pt;es;fr;it	type:consonant	voice:unvoiced	maner:plosive	active:backtongue	passive:velar	voice:unvoiced	maner:fricative	active:fronttongue	passive:alveolar
y	en;pt;es;fr;it	type:consonant	voice:sonorant	maner:approximant	active:midtongue	passive:palatal
z	en;pt;es;fr;it	type:consonant	voice:voiced	maner:fricative	active:fronttongue	passive:alveolar
